Technology,TechDetail,Metric,Parameter,ParameterDetail,Value,Units,$Year,Scenario,Year,atb_year,Description,ResourceDetail,ResourceDetail2,Source,Notes,TechDetail2
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,4790,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Great Boiling Springs (Gerlach),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Great Boiling Springs (Gerlach),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,163,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Great Boiling Springs (Gerlach),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,49,(MW),2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Great Boiling Springs (Gerlach),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,4385,$/kW net,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Great Boiling Springs (Gerlach),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Great Boiling Springs (Gerlach),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,164,$/kW,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Great Boiling Springs (Gerlach),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,185,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,185,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,185,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,17,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,4669,$/kW net,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,171,$/kW,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,17,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,4918,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,174,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,17,(MW),2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,4500,$/kW net,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,175,$/kW,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Brady HS,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,190,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,190,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,190,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,60,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,5130,$/kW net,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,161,$/kW,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,60,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,4639,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,154,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,60,(MW),2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,4222,$/kW net,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,154,$/kW,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 10,East Mesa (Deep),ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,190,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,190,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,190,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,58,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,4396,$/kW net,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,146,$/kW,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,58,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,4194,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,142,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,58,(MW),2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,3866,$/kW net,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,142,$/kW,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,San Emidio Desert area,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,195,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,195,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,195,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,53,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,5088,$/kW net,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,152,$/kW,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,53,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,4354,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,139,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,53,(MW),2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,3906,$/kW net,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,137,$/kW,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 12,Fallon Naval Air Station,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,110,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,110,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,110,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,864,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,19715,$/kW net,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,541,$/kW,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,864,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,18016,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,513,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,864,(MW),2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,16561,$/kW net,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,509,$/kW,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 28,Undiscovered <140 - AZ,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,114,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,114,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,114,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,112,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,16362,$/kW net,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,457,$/kW,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,112,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,15067,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,437,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,112,(MW),2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,13827,$/kW net,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,435,$/kW,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 8,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,114,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,114,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,114,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,32,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,16362,$/kW net,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,457,$/kW,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,32,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,15067,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,437,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,32,(MW),2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,13827,$/kW net,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,435,$/kW,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 9,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,114,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,114,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,114,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,75,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,16362,$/kW net,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,457,$/kW,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,75,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,15067,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,437,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,75,(MW),2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,13827,$/kW net,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,435,$/kW,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 10,Undiscovered <140 - CA,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,110,C,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 33,Undiscovered <140 - CO,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,110,C,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 33,Undiscovered <140 - CO,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Estimated Temperature,,110,C,2017,Advanced,2030,,2030 Advanced Scenario Full Supply Curve,ReEDS PCR | 33,Undiscovered <140 - CO,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,164,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 33,Undiscovered <140 - CO,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,19706,$/kW net,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 33,Undiscovered <140 - CO,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 33,Undiscovered <140 - CO,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,541,$/kW,2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 33,Undiscovered <140 - CO,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Net Capacity,,164,(MW),2017,Base,2018,,2018 Base Scenario Full Supply Curve,ReEDS PCR | 33,Undiscovered <140 - CO,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,Overnight Capital Cost,,18008,$/kW net,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 33,Undiscovered <140 - CO,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,0,$/kWh,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 33,Undiscovered <140 - CO,ReEDS,,
Geothermal,HydroBinary,Full Supply Curve,O&M Costs,,512,$/kW,2017,Moderate,2030,,2030 Moderate Scenario Full Supply Curve,ReEDS PCR | 33,Undiscovered <140 - CO,ReEDS,,
